Standard Deviation of Differences: 19.026775
Mean Value of Absolute Values of Diffrences: 13.598617
Max Value of Absolute Values of Differences: 89.34476
 
  Real Values  |  Predictions  |  Differences  
   [51.28]        [64.83381]     [-13.55381] 
   [107.68]       [98.99886]     [8.681137]  
   [47.04]        [53.83715]     [-6.7971497]
   [79.61]        [82.14428]     [-2.5342789]
   [159.81]       [158.6372]     [1.1727905] 
   [104.68]       [104.27686]    [0.4031372] 
   [72.64]        [83.41882]     [-10.778824]
   [223.1]        [222.07304]    [1.0269623] 
   [93.1]         [85.319435]    [7.7805634] 
   [55.87]        [53.96946]     [1.9005394] 
   [69.51]        [68.259605]    [1.2503967] 
   [62.43]        [70.513245]    [-8.083244] 
   [48.94]        [72.28797]     [-23.347973]
   [172.83]       [169.46957]    [3.3604279] 
   [110.82]       [108.64957]    [2.170433]  
   [247.15]       [259.21356]    [-12.063568]
   [100.22]       [105.09167]    [-4.871666] 
   [120.26]       [105.330444]   [14.929558] 
   [75.65]        [96.61134]     [-20.961342]
   [73.97]        [73.00266]     [0.96733856]
   [210.47]       [181.28993]    [29.180069] 
   [69.01]        [77.9834]      [-8.973396] 
   [159.72]       [173.28896]    [-13.568954]
   [280.73]       [255.89377]    [24.836243] 
   [122.9]        [113.89282]    [9.007179]  
   [144.92]       [111.55014]    [33.369858] 
   [107.86]       [98.767]       [9.093002]  
   [184.43]       [190.08508]    [-5.6550903]
   [93.72]        [82.65299]     [11.067009] 
   [112.18]       [90.939186]    [21.240814] 
   [60.07]        [56.569706]    [3.5002937] 
   [115.22]       [129.60396]    [-14.383957]
   [146.58]       [137.22025]    [9.359756]  
   [212.01]       [196.40987]    [15.600128] 
   [79.76]        [83.67406]     [-3.9140549]
   [91.73]        [98.96728]     [-7.237274] 
   [61.43]        [57.951313]    [3.4786873] 
   [83.33]        [96.9552]      [-13.625198]
   [47.23]        [47.15963]     [0.07036972]
   [59.86]        [45.057076]    [14.802925] 
   [123.02]       [131.38042]    [-8.36042]  
   [229.48]       [217.06668]    [12.413315] 
   [123.06]       [146.24133]    [-23.181335]
   [86.63]        [73.47928]     [13.150719] 
   [202.49]       [149.97374]    [52.516266] 
   [128.33]       [124.12027]    [4.209732]  
   [56.07]        [59.96355]     [-3.8935509]
   [104.67]       [118.70259]    [-14.032593]
   [203.79]       [181.94305]    [21.84694]  
